NoBarang;NamaBarang;Satuan;HargaBeli;HargaJual;JmlBeli;JmlJual;NoSupplier
0007916248847;MINYAK TAWON DD;PCS;20250;23800;0;327;OBT
007916248823;MINYAK TAWON FF;PCS;46250;54200;0;138;OBT
007916248830;MINYAK TAWON EE;PCS;32750;38500;0;251;OBT
011747233026;DUA KELINCI KACANG KULIT 90;PCS;5060;5700;0;653;INDP
011747233033;DUA KELINCI KACANG KULIT 225;PCS;11825;13000;0;1144;INDP
011747233040;DUA KELINCI KC KULIT 450;PCS;24779;27800;0;195;INDP
011747233057;DUA KELINCI KC KULIT 1000;PCS;44000;48500;0;5;INDP
011747237628;MR FOOD PUDDING CHOCOLATE 137;PCS;10175;11400;0;7;PUJ
011747237642;MR FOOD PUDDING MELON 137;PCS;8788;9800;0;7;PUJ
011747237659;MR FOOD PUDDING STRAW 137;PCS;8788;9800;0;8;PUJ
02217109;SPEARMINT 5;PCS;1500;1900;0;11;ATI
02217206;DOUBLEMINT 5;PCS;2050;2400;0;1172;ATI
023111999995;NY MENEER TELON 100;PCS;19250;22300;0;1075;NMAM
04102503;CSAR STRAWBERY BTL 275;PCS;16000;18200;0;305;CSAR
04102504;CSAR STRAWBERY 200;PCS;6800;7700;0;4039;CSAR
04102505;CSAR STRAWBERY CUP 150;PCS;6200;7000;0;2600;CSAR
04102509;CSAR NANAS 200;PCS;6800;7700;0;1523;CSAR
04102510;CSAR NANAS CUP 150;PCS;6200;7000;0;915;CSAR
04102511;CSAR NANAS BTL 275;PCS;16000;18200;0;160;CSAR
04102519;CSAR COKLAT BTL 275;PCS;21600;24600;0;171;CSAR
04102520;CSAR COKLAT 200;PCS;11200;12700;0;1224;CSAR
04102521;CSAR COKLAT CUP 150;PCS;9100;10300;0;1195;CSAR
04102523;CSAR KACANG BTL 275;PCS;21600;24600;0;105;CSAR
04102524;CSAR KACANG 200;PCS;11200;12700;0;653;CSAR
04102525;CSAR KACANG CUP 150;PCS;9100;10300;0;871;CSAR
04102538;CSAR BLUEBERRY CUP 150;PCS;6200;7000;0;487;CSAR
0414047869542;VISION KWARTO 200;PCS;10000;12900;0;0;ATK
041689200657;BATU ZIPPO ;PCS;5833;7000;0;10;UM
041689300494;MINYAK ZIPPO 125;PCS;15000;17500;0;47;UM
046274222243;VINISI SARDEN TOMAT 155;PCS;4000;4500;0;19;PUJ
046274222250;VINISI SARDEN TOMAT425;PCS;9999;11000;0;2;PUJ
047400179240;GILLETTE MACH3 REF 2;PCS;67485;74500;0;1;DNR
051325112510;MISTER POTATO TOMAT 75;PCS;7679;8500;0;119;SAS
